날짜,지역,외국인 방문자수
202506,강원특별자치도,335323.0
202506,경기도,2170206.0
202506,경상남도,696323.0
202506,경상북도,498360.0
202506,광주광역시,91525.0
202506,대구광역시,179766.0
202506,대전광역시,91412.0
202506,부산광역시,1205348.0
202506,서울특별시,4170480.0
202506,세종특별자치시,35605.0
202506,울산광역시,298481.0
202506,인천광역시,2147523.0
202506,전라남도,715249.0
202506,전북특별자치도,267107.0
202506,제주특별자치도,1367357.0
202506,충청남도,378634.0
202506,충청북도,253224.0
202507,강원특별자치도,353097.0
202507,경기도,2650507.0
202507,경상남도,852885.0
202507,경상북도,531200.0
202507,광주광역시,108483.0
202507,대구광역시,245848.0
202507,대전광역시,117277.0
202507,부산광역시,1653914.0
202507,서울특별시,4781449.0
202507,세종특별자치시,87784.0
202507,울산광역시,386997.0
202507,인천광역시,2807118.0
202507,전라남도,833703.0
202507,전북특별자치도,272860.0
202507,제주특별자치도,1857932.0
202507,충청남도,440996.0
202507,충청북도,343138.0
202508,강원특별자치도,260102.0
202508,경기도,2195498.0
202508,경상남도,742188.0
202508,경상북도,454401.0
202508,광주광역시,97993.0
202508,대구광역시,216590.0
202508,대전광역시,105273.0
202508,부산광역시,1364638.0
202508,서울특별시,3997109.0
202508,세종특별자치시,42764.0
202508,울산광역시,321701.0
202508,인천광역시,2169473.0
202508,전라남도,698671.0
202508,전북특별자치도,220621.0
202508,제주특별자치도,1625049.0
202508,충청남도,399117.0
202508,충청북도,258732.0
202509,강원특별자치도,227229.0
202509,경기도,2009029.0
202509,경상남도,717011.0
202509,경상북도,493537.0
202509,광주광역시,102792.0
202509,대구광역시,199376.0
202509,대전광역시,128692.0
202509,부산광역시,1285642.0
202509,서울특별시,4080530.0
202509,세종특별자치시,41375.0
202509,울산광역시,290923.0
202509,인천광역시,2083656.0
202509,전라남도,645535.0
202509,전북특별자치도,228688.0
202509,제주특별자치도,1360103.0
202509,충청남도,412340.0
202509,충청북도,286119.0
202510,강원특별자치도,313881.0
202510,경기도,2218810.0
202510,경상남도,879966.0
202510,경상북도,587371.0
202510,광주광역시,102192.0
202510,대구광역시,221794.0
202510,대전광역시,131806.0
202510,부산광역시,1524020.0
202510,서울특별시,4724138.0
202510,세종특별자치시,44669.0
202510,울산광역시,309567.0
202510,인천광역시,2319960.0
202510,전라남도,596081.0
202510,전북특별자치도,247189.0
202510,제주특별자치도,1333676.0
202510,충청남도,433448.0
202510,충청북도,312609.0
202511,강원특별자치도,252131.0
202511,경기도,2042504.0
202511,경상남도,831001.0
202511,경상북도,501421.0
202511,광주광역시,94820.0
202511,대구광역시,195336.0
202511,대전광역시,112409.0
202511,부산광역시,1418695.0
202511,서울특별시,4499486.0
202511,세종특별자치시,38725.0
202511,울산광역시,293819.0
202511,인천광역시,2275186.0
202511,전라남도,617900.0
202511,전북특별자치도,226841.0
202511,제주특별자치도,1011727.0
202511,충청남도,379444.0
202511,충청북도,265796.0
202512,강원특별자치도,327455.0
202512,경기도,1981461.0
202512,경상남도,863296.0
202512,경상북도,367117.0
202512,광주광역시,82041.0
202512,대구광역시,156868.0
202512,대전광역시,85503.0
202512,부산광역시,1146324.0
202512,서울특별시,4168698.0
202512,세종특별자치시,31492.0
202512,울산광역시,288304.0
202512,인천광역시,2012194.0
202512,전라남도,649214.0
202512,전북특별자치도,195872.0
202512,제주특별자치도,919311.0
202512,충청남도,353410.0
202512,충청북도,199446.0
202601,강원특별자치도,259470.0
202601,경기도,1735517.0
202601,경상남도,759430.0
202601,경상북도,287788.0
202601,광주광역시,71412.0
202601,대구광역시,130944.0
202601,대전광역시,75250.0
202601,부산광역시,1013260.0
202601,서울특별시,3363997.0
202601,세종특별자치시,27592.0
202601,울산광역시,253417.0
202601,인천광역시,1766196.0
202601,전라남도,569429.0
202601,전북특별자치도,178150.0
202601,제주특별자치도,916323.0
202601,충청남도,324436.0
202601,충청북도,169368.0
202602,강원특별자치도,244677.0
202602,경기도,1636248.0
202602,경상남도,642752.0
202602,경상북도,285250.0
202602,광주광역시,59494.0
202602,대구광역시,128051.0
202602,대전광역시,67056.0
202602,부산광역시,1133814.0
202602,서울특별시,3371051.0
202602,세종특별자치시,27309.0
202602,울산광역시,227757.0
202602,인천광역시,1793377.0
202602,전라남도,510940.0
202602,전북특별자치도,195640.0
202602,제주특별자치도,1090067.0
202602,충청남도,294175.0
202602,충청북도,160373.0
202603,강원특별자치도,198163.0
202603,경기도,1871783.0
202603,경상남도,727830.0
202603,경상북도,438683.0
202603,광주광역시,77628.0
202603,대구광역시,170979.0
202603,대전광역시,102952.0
202603,부산광역시,1484014.0
202603,서울특별시,4268420.0
202603,세종특별자치시,37936.0
202603,울산광역시,256259.0
202603,인천광역시,2126711.0
202603,전라남도,522430.0
202603,전북특별자치도,248557.0
202603,제주특별자치도,1208292.0
202603,충청남도,376051.0
202603,충청북도,245930.0
202604,강원특별자치도,353169.0
202604,경기도,2575604.0
202604,경상남도,870753.0
202604,경상북도,642715.0
202604,광주광역시,95519.0
202604,대구광역시,207721.0
202604,대전광역시,119105.0
202604,부산광역시,1710921.0
202604,서울특별시,5157532.0
202604,세종특별자치시,46559.0
202604,울산광역시,279626.0
202604,인천광역시,2743493.0
202604,전라남도,652673.0
202604,전북특별자치도,352029.0
202604,제주특별자치도,1559270.0
202604,충청남도,493530.0
202604,충청북도,333594.0
202605,강원특별자치도,439507.0
202605,경기도,2673038.0
202605,경상남도,1045152.0
202605,경상북도,771775.0
202605,광주광역시,99479.0
202605,대구광역시,232199.0
202605,대전광역시,127208.0
202605,부산광역시,1910947.0
202605,서울특별시,5472909.0
202605,세종특별자치시,48815.0
202605,울산광역시,318676.0
202605,인천광역시,2795101.0
202605,전라남도,902969.0
202605,전북특별자치도,441879.0
202605,제주특별자치도,1773782.0
202605,충청남도,576864.0
202605,충청북도,397317.0
