기준년월일,업종별 구분,소비액(천원)
202506,전체,1.234800657E9
202507,전체,1.21902078E9
202508,전체,1.232453496E9
202509,전체,1.31353252E9
202510,전체,1.413814402E9
202511,전체,1.462306342E9
202512,전체,1.437980668E9
202601,전체,1.130633204E9
202602,전체,1.027843956E9
202603,전체,1.711524662E9
202604,전체,1.992376171E9
202605,전체,2.122156788E9
202506,운송업,1.11096266E8
202506,숙박업,2.88136843E8
202506,쇼핑업,4.29091864E8
202506,여가서비스업,1.6499511E7
202506,의료웰니스업,2.16096593E8
202506,여행업,1854055.0
202506,식음료업,1.72025526E8
202507,운송업,1.21184439E8
202507,숙박업,2.9013172E8
202507,여행업,1502790.0
202507,쇼핑업,4.28292674E8
202507,여가서비스업,1.5999936E7
202507,의료웰니스업,1.9985425E8
202507,식음료업,1.62054971E8
202508,숙박업,3.12327913E8
202508,운송업,1.25807155E8
202508,쇼핑업,4.24531141E8
202508,여가서비스업,1.4803934E7
202508,의료웰니스업,1.90085773E8
202508,여행업,1578680.0
202508,식음료업,1.633189E8
202509,운송업,1.29053101E8
202509,숙박업,2.97587848E8
202509,여행업,1935116.0
202509,쇼핑업,4.48263449E8
202509,여가서비스업,1.4322938E7
202509,의료웰니스업,2.43940691E8
202509,식음료업,1.78429377E8
202510,숙박업,3.31858223E8
202510,여행업,2186092.0
202510,쇼핑업,4.96059951E8
202510,여가서비스업,1.6770177E7
202510,의료웰니스업,2.42216848E8
202510,식음료업,1.96585387E8
202510,운송업,1.28137724E8
202511,식음료업,1.93474615E8
202511,숙박업,3.08248819E8
202511,운송업,1.28361928E8
202511,쇼핑업,5.37049075E8
202511,여가서비스업,1.4932187E7
202511,의료웰니스업,2.78654809E8
202511,여행업,1584909.0
202512,숙박업,3.01470873E8
202512,여행업,1796472.0
202512,쇼핑업,5.34464102E8
202512,여가서비스업,1.451425E7
202512,의료웰니스업,2.86466814E8
202512,식음료업,1.83515773E8
202512,운송업,1.15752384E8
202601,식음료업,1.42004736E8
202601,숙박업,2.46261525E8
202601,운송업,1.25345476E8
202601,쇼핑업,4.14313171E8
202601,여가서비스업,1.1203329E7
202601,의료웰니스업,1.89326582E8
202601,여행업,2178385.0
202602,숙박업,2.32937482E8
202602,여행업,1771559.0
202602,쇼핑업,3.80182572E8
202602,여가서비스업,1.118677E7
202602,의료웰니스업,1.62437177E8
202602,식음료업,1.2937986E8
202602,운송업,1.09948536E8
202603,식음료업,2.28415515E8
202603,숙박업,3.37160514E8
202603,운송업,1.76292674E8
202603,쇼핑업,6.13359587E8
202603,여가서비스업,5.9737338E7
202603,의료웰니스업,2.94322732E8
202603,여행업,2236302.0
202604,숙박업,3.84935636E8
202604,식음료업,2.73565566E8
202604,의료웰니스업,3.56145023E8
202604,여가서비스업,6.8330648E7
202604,쇼핑업,7.50973584E8
202604,운송업,1.55971893E8
202604,여행업,2453821.0
202605,식음료업,2.90591368E8
202605,의료웰니스업,3.59339228E8
202605,여가서비스업,8.0934397E7
202605,쇼핑업,8.05776488E8
202605,운송업,1.84650836E8
202605,여행업,2519451.0
202605,숙박업,3.98345019E8
