기준년월,조회기간 소비액,전년동기 소비액,전년대비 증감 비율
202506,1.190194856924E12,9.81290403981E11,21.29
202507,1.178294015187E12,9.21948761514E11,27.80
202508,1.19280256298E12,9.64106808636E11,23.72
202509,1.269133067685E12,9.79711565179E11,29.54
202510,1.365271037194E12,1.187974779969E12,14.92
202511,1.410193209501E12,1.06311110791E12,32.65
202512,1.387937045728E12,1.033676905267E12,34.27
202601,1.090925161187E12,8.13015479853E11,34.18
202602,9.92190985898E11,7.54329458459E11,31.53
202603,1.649321604702E12,1.116081357946E12,47.78
202604,1.923361720056E12,1.313672880181E12,46.41
202605,2.122156788304E12,1.22533157023E12,73.19
