기준년월,업종,소비금액(천원)
202506,전체,10361356
202507,전체,12397506
202508,전체,12355504
202509,전체,13177318
202510,전체,9966460
202511,전체,10272913
202512,전체,9677796
202601,전체,12322402
202602,전체,11046322
202603,전체,11951697
202604,전체,11357383
202605,전체,12730824
202506,쇼핑업,795643
202506,숙박업,4536
202506,식음료업,2116079
202506,여가서비스업,52616
202506,여행업,778
202506,운송업,148152
202506,의료웰니스업,7243552
202507,쇼핑업,948040
202507,숙박업,19337
202507,식음료업,2881339
202507,여가서비스업,59122
202507,여행업,8410
202507,운송업,172594
202507,의료웰니스업,8308665
202508,쇼핑업,909946
202508,숙박업,6264
202508,식음료업,2861069
202508,여가서비스업,64804
202508,여행업,8047
202508,운송업,203254
202508,의료웰니스업,8302119
202509,쇼핑업,1346725
202509,숙박업,8796
202509,식음료업,2373136
202509,여가서비스업,84515
202509,여행업,3189
202509,운송업,156939
202509,의료웰니스업,9204019
202510,쇼핑업,1027370
202510,숙박업,8635
202510,식음료업,2523552
202510,여가서비스업,71842
202510,여행업,2097
202510,운송업,159872
202510,의료웰니스업,6173092
202511,쇼핑업,718011
202511,숙박업,8382
202511,식음료업,2016138
202511,여가서비스업,50275
202511,여행업,290
202511,운송업,108414
202511,의료웰니스업,7371402
202512,쇼핑업,763633
202512,숙박업,23065
202512,식음료업,2724006
202512,여가서비스업,57002
202512,여행업,84841
202512,운송업,135792
202512,의료웰니스업,5889457
202601,쇼핑업,730019
202601,숙박업,8044
202601,식음료업,2805954
202601,여가서비스업,60062
202601,여행업,47449
202601,운송업,168052
202601,의료웰니스업,8502823
202602,쇼핑업,940865
202602,숙박업,10053
202602,식음료업,3070411
202602,여가서비스업,67480
202602,여행업,69986
202602,운송업,163104
202602,의료웰니스업,6724422
202603,쇼핑업,999626
202603,숙박업,18870
202603,식음료업,2432765
202603,여가서비스업,140093
202603,여행업,3102
202603,운송업,205060
202603,의료웰니스업,8152181
202604,쇼핑업,1199784
202604,숙박업,17466
202604,식음료업,3125723
202604,여가서비스업,120417
202604,여행업,4892
202604,운송업,265776
202604,의료웰니스업,6623326
202605,쇼핑업,1378150
202605,숙박업,13367
202605,식음료업,3582143
202605,여가서비스업,118405
202605,여행업,2607
202605,운송업,253005
202605,의료웰니스업,7383148
