시도명,관광지출액,전년도 관광지출액
서울특별시,4.5763583249E10,4.5389241564E10
부산광역시,9.888391421E9,9.2347818E9
대구광역시,6.049418398E9,5.938052031E9
인천광역시,8.678860594E9,8.448590815E9
광주광역시,3.267881945E9,3.07486137E9
대전광역시,4.905286846E9,4.720997355E9
울산광역시,2.450210635E9,2.297343994E9
세종특별자치시,4.9161464E8,4.67809756E8
경기도,3.8835934496E10,3.7157569221E10
충청북도,5.720184584E9,5.386902296E9
충청남도,5.72933298E9,5.432963209E9
전라남도,3.740132795E9,3.541372797E9
경상북도,5.743959662E9,5.338493249E9
경상남도,5.888580166E9,5.5491423E9
제주특별자치도,2.733781019E9,2.771985144E9
강원특별자치도,5.164134575E9,4.921193864E9
전북특별자치도,3.560248685E9,3.360503842E9
