기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202506,24835.0,23462.0,5.8,12789.0,13789.0,-7.2
202507,26559.0,24156.0,9.9,13472.0,13345.0,1.0
202508,27692.0,25961.0,6.7,13923.0,14183.0,-1.8
202509,25369.0,26161.0,-3.0,12833.0,13583.0,-5.5
202510,29732.0,25203.0,18.0,14622.0,14016.0,4.3
202511,25650.0,23280.0,10.2,14197.0,13439.0,5.6
202512,24888.0,23154.0,7.5,14479.0,13891.0,4.2
202601,24245.0,24946.0,-2.8,13586.0,12871.0,5.6
202602,24554.0,21276.0,15.4,12993.0,11298.0,15.0
202603,28356.0,26725.0,6.1,14133.0,13264.0,6.6
202604,23234.0,22457.0,3.5,13974.0,12623.0,10.7
202605,27274.0,29453.0,-7.4,15554.0,14325.0,8.6
