광역지자체,기초지자체,광역지자체 검색건수,광역지자체 검색건수 비율,기초지자체 검색건수,기초지자체 검색건수 비율
강원특별자치도,강릉시,36042127,7.2,6215100,17.2
강원특별자치도,고성군,36042127,7.2,2182146,6.1
강원특별자치도,동해시,36042127,7.2,1110895,3.1
강원특별자치도,삼척시,36042127,7.2,1297788,3.6
강원특별자치도,속초시,36042127,7.2,5743677,15.9
강원특별자치도,양구군,36042127,7.2,196146,0.5
강원특별자치도,양양군,36042127,7.2,2446429,6.8
강원특별자치도,영월군,36042127,7.2,790149,2.2
강원특별자치도,원주시,36042127,7.2,3591315,10.0
강원특별자치도,인제군,36042127,7.2,625014,1.7
강원특별자치도,정선군,36042127,7.2,1410138,3.9
강원특별자치도,철원군,36042127,7.2,740018,2.1
강원특별자치도,춘천시,36042127,7.2,3922677,10.9
강원특별자치도,태백시,36042127,7.2,423344,1.2
강원특별자치도,평창군,36042127,7.2,2247123,6.2
강원특별자치도,홍천군,36042127,7.2,1890149,5.2
강원특별자치도,화천군,36042127,7.2,229177,0.6
강원특별자치도,횡성군,36042127,7.2,980842,2.7
경기도,가평군,150494847,30.0,3429816,2.3
경기도,고양시,150494847,30.0,12948517,8.6
경기도,과천시,150494847,30.0,1638993,1.1
경기도,광명시,150494847,30.0,3411514,2.3
경기도,광주시,150494847,30.0,4049176,2.7
경기도,구리시,150494847,30.0,2050904,1.4
경기도,군포시,150494847,30.0,786668,0.5
경기도,김포시,150494847,30.0,5451457,3.6
경기도,남양주시,150494847,30.0,8555330,5.7
경기도,동두천시,150494847,30.0,590537,0.4
경기도,부천시,150494847,30.0,4002218,2.7
경기도,성남시,150494847,30.0,8637955,5.7
경기도,수원시,150494847,30.0,12434204,8.3
경기도,시흥시,150494847,30.0,4937967,3.3
경기도,안산시,150494847,30.0,4392908,2.9
경기도,안성시,150494847,30.0,3506284,2.3
경기도,안양시,150494847,30.0,3121408,2.1
경기도,양주시,150494847,30.0,3040331,2.0
경기도,양평군,150494847,30.0,2800730,1.9
경기도,여주시,150494847,30.0,3640532,2.4
경기도,연천군,150494847,30.0,853806,0.6
경기도,오산시,150494847,30.0,1888287,1.3
경기도,용인시,150494847,30.0,13503190,9.0
경기도,의왕시,150494847,30.0,2210126,1.5
경기도,의정부시,150494847,30.0,2858039,1.9
경기도,이천시,150494847,30.0,3409539,2.3
경기도,파주시,150494847,30.0,8074239,5.4
경기도,평택시,150494847,30.0,4850071,3.2
경기도,포천시,150494847,30.0,3937892,2.6
경기도,하남시,150494847,30.0,5408991,3.6
경기도,화성시,150494847,30.0,10073218,6.7
경상남도,거제시,25231690,5.0,2332010,9.2
경상남도,거창군,25231690,5.0,506509,2.0
경상남도,고성군,25231690,5.0,436134,1.7
경상남도,김해시,25231690,5.0,3760931,14.9
경상남도,남해군,25231690,5.0,1112253,4.4
경상남도,밀양시,25231690,5.0,1145652,4.5
경상남도,사천시,25231690,5.0,1061572,4.2
경상남도,산청군,25231690,5.0,323240,1.3
경상남도,양산시,25231690,5.0,2713816,10.8
경상남도,의령군,25231690,5.0,300024,1.2
경상남도,진주시,25231690,5.0,1675695,6.6
경상남도,창녕군,25231690,5.0,467201,1.9
경상남도,창원시,25231690,5.0,6335394,25.1
경상남도,통영시,25231690,5.0,1423020,5.6
경상남도,하동군,25231690,5.0,529664,2.1
경상남도,함안군,25231690,5.0,423629,1.7
경상남도,함양군,25231690,5.0,254065,1.0
경상남도,합천군,25231690,5.0,430881,1.7
경상북도,경산시,23603162,4.7,1322966,5.6
경상북도,경주시,23603162,4.7,6598921,28.0
경상북도,고령군,23603162,4.7,242879,1.0
경상북도,구미시,23603162,4.7,1954340,8.3
경상북도,김천시,23603162,4.7,850063,3.6
경상북도,문경시,23603162,4.7,791484,3.4
경상북도,봉화군,23603162,4.7,176396,0.7
경상북도,상주시,23603162,4.7,473956,2.0
경상북도,성주군,23603162,4.7,197351,0.8
경상북도,안동시,23603162,4.7,1309978,5.6
경상북도,영덕군,23603162,4.7,919899,3.9
경상북도,영양군,23603162,4.7,40883,0.2
경상북도,영주시,23603162,4.7,640957,2.7
경상북도,영천시,23603162,4.7,649427,2.8
경상북도,예천군,23603162,4.7,286320,1.2
경상북도,울릉군,23603162,4.7,82892,0.4
경상북도,울진군,23603162,4.7,841645,3.6
경상북도,의성군,23603162,4.7,207029,0.9
경상북도,청도군,23603162,4.7,738905,3.1
경상북도,청송군,23603162,4.7,231620,1.0
경상북도,칠곡군,23603162,4.7,800903,3.4
경상북도,포항시,23603162,4.7,4244348,18.0
광주광역시,광산구,7776765,1.6,2221454,28.6
광주광역시,남구,7776765,1.6,559080,7.2
광주광역시,동구,7776765,1.6,863603,11.1
광주광역시,북구,7776765,1.6,1587847,20.4
광주광역시,서구,7776765,1.6,2544781,32.7
대구광역시,군위군,14814018,3.0,350084,2.4
대구광역시,남구,14814018,3.0,739217,5.0
대구광역시,달서구,14814018,3.0,1998878,13.5
대구광역시,달성군,14814018,3.0,1374337,9.3
대구광역시,동구,14814018,3.0,3477832,23.5
대구광역시,북구,14814018,3.0,1909481,12.9
대구광역시,서구,14814018,3.0,540548,3.6
대구광역시,수성구,14814018,3.0,2858267,19.3
대구광역시,중구,14814018,3.0,1565374,10.6
대전광역시,대덕구,11686213,2.3,795028,6.8
대전광역시,동구,11686213,2.3,1719175,14.7
대전광역시,서구,11686213,2.3,2620286,22.4
대전광역시,유성구,11686213,2.3,4696050,40.2
대전광역시,중구,11686213,2.3,1855674,15.9
부산광역시,강서구,26761595,5.3,3106346,11.6
부산광역시,금정구,26761595,5.3,1106949,4.1
부산광역시,기장군,26761595,5.3,4851373,18.1
부산광역시,남구,26761595,5.3,1159548,4.3
부산광역시,동구,26761595,5.3,1074114,4.0
부산광역시,동래구,26761595,5.3,1260045,4.7
부산광역시,부산진구,26761595,5.3,1972477,7.4
부산광역시,북구,26761595,5.3,789754,3.0
부산광역시,사상구,26761595,5.3,1060177,4.0
부산광역시,사하구,26761595,5.3,892507,3.3
부산광역시,서구,26761595,5.3,521416,1.9
부산광역시,수영구,26761595,5.3,1456871,5.4
부산광역시,연제구,26761595,5.3,576034,2.2
부산광역시,영도구,26761595,5.3,824922,3.1
부산광역시,중구,26761595,5.3,977455,3.7
부산광역시,해운대구,26761595,5.3,5131607,19.2
서울특별시,강남구,70904108,14.1,9896640,14.0
서울특별시,강동구,70904108,14.1,1790088,2.5
서울특별시,강북구,70904108,14.1,1067283,1.5
서울특별시,강서구,70904108,14.1,6345814,8.9
서울특별시,관악구,70904108,14.1,785233,1.1
서울특별시,광진구,70904108,14.1,2609296,3.7
서울특별시,구로구,70904108,14.1,1191199,1.7
서울특별시,금천구,70904108,14.1,932391,1.3
서울특별시,노원구,70904108,14.1,1736454,2.4
