norm_region,축제수,다국어가이드수,세계음식점수
강원 강릉시,26.0,107.0,19.0
강원 고성군,3.0,50.0,1.0
강원 동해시,4.0,26.0,5.0
강원 삼척시,5.0,50.0,4.0
강원 속초시,6.0,29.0,13.0
강원 양구군,6.0,31.0,3.0
강원 양양군,6.0,38.0,5.0
강원 영월군,9.0,60.0,1.0
강원 원주시,11.0,56.0,40.0
강원 인제군,7.0,32.0,0.0
강원 정선군,4.0,51.0,2.0
강원 철원군,2.0,20.0,2.0
강원 춘천시,12.0,73.0,29.0
강원 태백시,7.0,14.0,3.0
강원 평창군,14.0,54.0,1.0
강원 홍천군,6.0,44.0,3.0
강원 화천군,8.0,32.0,1.0
강원 횡성군,8.0,27.0,1.0
경기 null,4.0,0.0,0.0
경기 가평군,10.0,113.0,11.0
경기 고양시,8.0,200.0,176.0
경기 과천시,1.0,36.0,9.0
경기 광명시,2.0,24.0,28.0
경기 광주시,2.0,43.0,40.0
경기 구리시,2.0,12.0,29.0
경기 군포시,3.0,19.0,36.0
경기 김포시,0.0,38.0,59.0
경기 남양주시,7.0,83.0,67.0
경기 동두천시,2.0,17.0,5.0
경기 부천시,15.0,66.0,146.0
경기 성남시,0.0,71.0,339.0
경기 수원시,13.0,97.0,260.0
경기 시흥시,6.0,35.0,51.0
경기 안산시,6.0,52.0,106.0
경기 안성시,5.0,43.0,30.0
경기 안양시,0.0,25.0,131.0
경기 양주시,0.0,50.0,25.0
경기 양평군,9.0,92.0,18.0
경기 여주시,4.0,73.0,12.0
경기 연천군,7.0,28.0,2.0
경기 오산시,2.0,17.0,24.0
경기 용인시,6.0,102.0,161.0
경기 의왕시,1.0,20.0,19.0
경기 의정부시,5.0,15.0,46.0
경기 이천시,10.0,67.0,20.0
경기 파주시,14.0,202.0,60.0
경기 평택시,7.0,39.0,91.0
경기 포천시,7.0,58.0,11.0
경기 하남시,0.0,27.0,36.0
경기 화성시,6.0,60.0,126.0
경남 null,2.0,0.0,0.0
경남 거제시,11.0,63.0,39.0
경남 거창군,6.0,22.0,4.0
경남 고성군,1.0,28.0,3.0
경남 김해시,6.0,54.0,47.0
경남 남해군,5.0,43.0,6.0
경남 밀양시,4.0,39.0,6.0
경남 사천시,3.0,26.0,9.0
경남 산청군,4.0,25.0,1.0
경남 양산시,7.0,24.0,26.0
경남 의령군,2.0,17.0,0.0
경남 진주시,7.0,45.0,51.0
경남 창녕군,5.0,24.0,8.0
경남 창원시,13.0,112.0,95.0
경남 통영시,11.0,49.0,14.0
경남 하동군,4.0,20.0,2.0
경남 함안군,1.0,17.0,4.0
경남 함양군,8.0,27.0,2.0
경남 합천군,6.0,24.0,1.0
경북 경산시,1.0,16.0,30.0
경북 경주시,6.0,95.0,30.0
경북 고령군,1.0,17.0,1.0
경북 구미시,1.0,39.0,46.0
경북 군위군,0.0,14.0,1.0
경북 김천시,4.0,22.0,9.0
경북 문경시,3.0,36.0,5.0
경북 봉화군,3.0,13.0,1.0
경북 상주시,4.0,23.0,4.0
경북 성주군,1.0,17.0,3.0
경북 안동시,1.0,66.0,21.0
경북 영덕군,5.0,33.0,3.0
경북 영양군,4.0,20.0,1.0
경북 영주시,1.0,25.0,8.0
경북 영천시,3.0,24.0,2.0
경북 예천군,1.0,20.0,2.0
경북 울릉군,1.0,23.0,0.0
경북 울진군,7.0,38.0,1.0
경북 의성군,4.0,14.0,1.0
경북 청도군,1.0,47.0,1.0
경북 청송군,5.0,22.0,3.0
경북 칠곡군,4.0,27.0,14.0
경북 포항시,8.0,67.0,44.0
광주 광산구,0.0,20.0,70.0
광주 남구,0.0,36.0,17.0
광주 동구,0.0,47.0,37.0
광주 북구,0.0,40.0,18.0
광주 서구,0.0,37.0,29.0
광주시 남구,1.0,0.0,0.0
광주시 동구,9.0,0.0,0.0
광주시 북구,3.0,0.0,0.0
광주시 서구,3.0,0.0,0.0
대구 남구,0.0,34.0,33.0
대구 달서구,0.0,20.0,48.0
대구 달성군,0.0,29.0,20.0
대구 동구,0.0,33.0,28.0
대구 북구,0.0,31.0,47.0
