title,rating,reviews,price,region,platform
서울: 유네스코 요새와 트렌디한 명소를 둘러보는 수원 종일 여행,4.9,260,"₩ 82,895",경기도 수원시,GetYourGuide
"DMZ 인사이더 투어: 탈북자 Q&A, 제3땅굴 및 다리 옵션",4.9,"19,324","₩ 76,755",경기도 파주시,GetYourGuide
"서울: 수원 화성, 광명동굴, 스타필드 라이브러리",4.7,194,"₩ 88,000",경기도 수원시,GetYourGuide
"서울: 수원 화성, 민속 마을, & 스타필드 도서관",4.8,102,"₩ 98,600",경기도 수원시,GetYourGuide
서울: DMZ 제3땅굴 및 현수교 투어 옵션,5,"6,799","₩ 69,079",경기도 파주시,GetYourGuide
"DMZ: 탈북자, 제3터널, 현수교, 호텔 픽업",4.9,"2,957","₩ 69,079",경기도 파주시,GetYourGuide
"DMZ 투어: JSA 박물관, 새터민과의 라이브 토크 및 레드 브리지 옵션",4.9,"5,386","₩ 69,079",경기도 파주시,GetYourGuide
서울: 수원 화성 & 와우정사 & 스타필드 헤리티지 투어,4.8,92,"₩ 80,000",경기도 수원시,GetYourGuide
DMZ 프리미엄 소그룹 투어: 올인원 북한 체험,5,2,"₩ 136,624",경기도 파주시,GetYourGuide
부산: 삼국유사 수도 경주 가이드 당일 여행,4.8,"2,445","₩ 52,807",경상북도 경주시,GetYourGuide
"서울: 장태산, 스타필드 라이브러리, 수원 당일 여행",4.8,제공자 평점,"₩ 156,580",경기도 수원시,GetYourGuide
서울 출발 남이섬 & 강촌 레일바이크 일일 투어,4.6,제공자 평점,"₩ 83,294",강원도 춘천시,GetYourGuide
서울: 수원 화성성곽 & 한국 민속 마을 투어,4.7,232,"₩ 114,350",경기도 수원시,GetYourGuide
수원: 한옥 요리 교실 및 비밀 피크닉 투어,N/A,N/A,"₩ 85,000",경기도 수원시,GetYourGuide
부산에서 출발하는 경주 유네스코 세계유산 등재지 투어,4.6,제공자 평점,"₩ 100,963",경상북도 경주시,GetYourGuide
"서울: 비무장지대 투어, 제3땅굴, 현수교, 북한 탈북자",4.8,716,"₩ 65,242",경기도 파주시,GetYourGuide
서울 출발: 수원 화성 야간 투어,4.9,88,"₩ 105,922",경기도 수원시,GetYourGuide
서울 출발: 수원 화성 투어,5,127,"₩ 79,825",경기도 수원시,GetYourGuide
서울: 유네스코 요새와 트렌디한 명소를 둘러보는 수원 종일 여행,4.9,260,"₩ 82,895",경기도 수원시,GetYourGuide
"DMZ 인사이더 투어: 탈북자 Q&A, 제3땅굴 및 다리 옵션",4.9,"19,324","₩ 76,755",경기도 파주시,GetYourGuide
"서울: 수원 화성, 광명동굴, 스타필드 라이브러리",4.7,194,"₩ 88,000",경기도 수원시,GetYourGuide
